,roomHeight,roomWidth,barrier,barrierRadius,barrierPos,doorWidth,numAgents,agentMass,desiredSpeed,escapeTime
0,20,10,"{'pos': <Point.Point object at 0x7f2372885518>, 'radius': 0.5}",0.5,"Point(-1.5, 0.015)",1.5,49,80,3.0,2661
1,20,10,"{'pos': <Point.Point object at 0x7f2372885550>, 'radius': 0.5}",0.5,"Point(-1.5, 0.015)",1.5,49,80,3.465916378175619,2129
2,20,10,"{'pos': <Point.Point object at 0x7f23728855c0>, 'radius': 0.5}",0.5,"Point(-1.5, 0.015)",1.5,49,80,4.004192113501999,2172
3,20,10,"{'pos': <Point.Point object at 0x7f2372885898>, 'radius': 0.5}",0.5,"Point(-1.5, 0.015)",1.5,49,80,4.626065009182741,1844
4,20,10,"{'pos': <Point.Point object at 0x7f23728858d0>, 'radius': 0.5}",0.5,"Point(-1.5, 0.015)",1.5,49,80,5.344518160610536,2397
5,20,10,"{'pos': <Point.Point object at 0x7f2372885908>, 'radius': 0.5}",0.5,"Point(-1.5, 0.015)",1.5,49,80,6.174551008772363,6000
6,20,10,"{'pos': <Point.Point object at 0x7f2372885940>, 'radius': 0.5}",0.5,"Point(-1.5, 0.015)",1.5,49,80,7.133492489728305,1566
7,20,10,"{'pos': <Point.Point object at 0x7f2372885978>, 'radius': 0.5}",0.5,"Point(-1.5, 0.015)",1.5,49,80,8.241362817914036,1596
8,20,10,"{'pos': <Point.Point object at 0x7f23728859b0>, 'radius': 0.5}",0.5,"Point(-1.5, 0.015)",1.5,49,80,9.521291456365278,1629
9,20,10,"{'pos': <Point.Point object at 0x7f23728859e8>, 'radius': 0.5}",0.5,"Point(-1.5, 0.015)",1.5,49,80,10.999999999999996,1559
10,20,10,"{'pos': <Point.Point object at 0x7f2372885a20>, 'radius': 0.5}",0.5,"Point(-1.5, 0.15000000000000002)",1.5,49,80,3.0,2581
11,20,10,"{'pos': <Point.Point object at 0x7f2372885a58>, 'radius': 0.5}",0.5,"Point(-1.5, 0.15000000000000002)",1.5,49,80,3.465916378175619,2706
12,20,10,"{'pos': <Point.Point object at 0x7f2372885a90>, 'radius': 0.5}",0.5,"Point(-1.5, 0.15000000000000002)",1.5,49,80,4.004192113501999,2444
13,20,10,"{'pos': <Point.Point object at 0x7f2372885ac8>, 'radius': 0.5}",0.5,"Point(-1.5, 0.15000000000000002)",1.5,49,80,4.626065009182741,2317
14,20,10,"{'pos': <Point.Point object at 0x7f2372885b00>, 'radius': 0.5}",0.5,"Point(-1.5, 0.15000000000000002)",1.5,49,80,5.344518160610536,2195
15,20,10,"{'pos': <Point.Point object at 0x7f2372885b38>, 'radius': 0.5}",0.5,"Point(-1.5, 0.15000000000000002)",1.5,49,80,6.174551008772363,1789
16,20,10,"{'pos': <Point.Point object at 0x7f2372885b70>, 'radius': 0.5}",0.5,"Point(-1.5, 0.15000000000000002)",1.5,49,80,7.133492489728305,1971
17,20,10,"{'pos': <Point.Point object at 0x7f2372885ba8>, 'radius': 0.5}",0.5,"Point(-1.5, 0.15000000000000002)",1.5,49,80,8.241362817914036,1725
18,20,10,"{'pos': <Point.Point object at 0x7f2372885be0>, 'radius': 0.5}",0.5,"Point(-1.5, 0.15000000000000002)",1.5,49,80,9.521291456365278,1642
19,20,10,"{'pos': <Point.Point object at 0x7f2372885c18>, 'radius': 0.5}",0.5,"Point(-1.5, 0.15000000000000002)",1.5,49,80,10.999999999999996,6000
20,20,10,"{'pos': <Point.Point object at 0x7f2372885c50>, 'radius': 0.5}",0.5,"Point(-1.5, 1.5)",1.5,49,80,3.0,3255
21,20,10,"{'pos': <Point.Point object at 0x7f2372885c88>, 'radius': 0.5}",0.5,"Point(-1.5, 1.5)",1.5,49,80,3.465916378175619,2653
22,20,10,"{'pos': <Point.Point object at 0x7f2372885cc0>, 'radius': 0.5}",0.5,"Point(-1.5, 1.5)",1.5,49,80,4.004192113501999,2659
23,20,10,"{'pos': <Point.Point object at 0x7f2372885cf8>, 'radius': 0.5}",0.5,"Point(-1.5, 1.5)",1.5,49,80,4.626065009182741,2296
24,20,10,"{'pos': <Point.Point object at 0x7f2372885d30>, 'radius': 0.5}",0.5,"Point(-1.5, 1.5)",1.5,49,80,5.344518160610536,2419
25,20,10,"{'pos': <Point.Point object at 0x7f2372885d68>, 'radius': 0.5}",0.5,"Point(-1.5, 1.5)",1.5,49,80,6.174551008772363,1712
26,20,10,"{'pos': <Point.Point object at 0x7f2372885da0>, 'radius': 0.5}",0.5,"Point(-1.5, 1.5)",1.5,49,80,7.133492489728305,1756
27,20,10,"{'pos': <Point.Point object at 0x7f2372885dd8>, 'radius': 0.5}",0.5,"Point(-1.5, 1.5)",1.5,49,80,8.241362817914036,1361
