barrierRadius,barrierPos,doorWidth,numAgents,agentMass,desiredSpeed,escapeTime
,,1.5,49,80,3,2639
0.5,"Point(-1.5, 0.015)",1.5,49,80,3,2661
0.5,"Point(-2.0, 0.015)",1.5,49,80,3,2492
1.077217345,"Point(-3.2316520350478255, 0.015)",1.5,49,80,3,2910
1.077217345,"Point(-4.308869380063768, 0.015)",1.5,49,80,3,2661
2.320794417,"Point(-6.962383250419167, 0.015)",1.5,49,80,3,3281
2.320794417,"Point(-9.283177667225557, 0.015)",1.5,49,80,3,3177
5,"Point(-15.000000000000004, 0.015)",1.5,49,80,3,3305
5,"Point(-20.000000000000004, 0.015)",1.5,49,80,3,2191
,,,,,,
,,,,,,
0.5,"Point(-1.5, 0.017147029594748057)",1.714702959,49,80,3,1692
0.5,"Point(-2.0, 0.017147029594748057)",1.714702959,49,80,3,2054
1.077217345,"Point(-3.2316520350478255, 0.017147029594748057)",1.714702959,49,80,3,2031
1.077217345,"Point(-4.308869380063768, 0.017147029594748057)",1.714702959,49,80,3,2259
2.320794417,"Point(-6.962383250419167, 0.017147029594748057)",1.714702959,49,80,3,2108
2.320794417,"Point(-9.283177667225557, 0.017147029594748057)",1.714702959,49,80,3,2353
5,"Point(-15.000000000000004, 0.017147029594748057)",1.714702959,49,80,3,1694
5,"Point(-20.000000000000004, 0.017147029594748057)",1.714702959,49,80,3,1689
,,,,,,
,,,,,,
0.5,"Point(-1.5, 0.019601374928211047)",1.960137493,49,80,3,1497
0.5,"Point(-2.0, 0.019601374928211047)",1.960137493,49,80,3,1393
1.077217345,"Point(-3.2316520350478255, 0.019601374928211047)",1.960137493,49,80,3,1684
1.077217345,"Point(-4.308869380063768, 0.019601374928211047)",1.960137493,49,80,3,1548
2.320794417,"Point(-6.962383250419167, 0.019601374928211047)",1.960137493,49,80,3,1610
2.320794417,"Point(-9.283177667225557, 0.019601374928211047)",1.960137493,49,80,3,1551
5,"Point(-15.000000000000004, 0.019601374928211047)",1.960137493,49,80,3,1353
5,"Point(-20.000000000000004, 0.019601374928211047)",1.960137493,49,80,3,1354
,,,,,,
0,,3,49,80,3,717
0.5,"Point(-1.5, 0.0292805648807772)",2.928056488,49,80,3,994
0.5,"Point(-2.0, 0.0292805648807772)",2.928056488,49,80,3,848
1.077217345,"Point(-3.2316520350478255, 0.0292805648807772)",2.928056488,49,80,3,837
1.077217345,"Point(-4.308869380063768, 0.0292805648807772)",2.928056488,49,80,3,828
2.320794417,"Point(-6.962383250419167, 0.0292805648807772)",2.928056488,49,80,3,747
2.320794417,"Point(-9.283177667225557, 0.0292805648807772)",2.928056488,49,80,3,756
5,"Point(-15.000000000000004, 0.0292805648807772)",2.928056488,49,80,3,683
5,"Point(-20.000000000000004, 0.0292805648807772)",2.928056488,49,80,3,797
